Total live births
Last modified: 06/10/2017
Code Year         Total
NOR  1983      49937.00
NOR  1984      50274.01
NOR  1985      51125.97
NOR  1986      52513.03
NOR  1987      54017.99
NOR  1988      57517.96
NOR  1989      59303.00
NOR  1990      60938.01
NOR  1991      60806.97
NOR  1992      60108.02
NOR  1993      59676.99
NOR  1994      60092.02
NOR  1995      60286.99
NOR  1996      60923.99
NOR  1997      59795.93
NOR  1998      58349.95
NOR  1999      59297.96
NOR  2000      59233.99
NOR  2001      56695.97
NOR  2002      55434.03
NOR  2003      56457.99
NOR  2004      56950.94
NOR  2005      56755.99
NOR  2006      58544.99
NOR  2007      58458.97
NOR  2008      60496.98
NOR  2009      61806.99
NOR  2010      61441.97
NOR  2011      60219.97
NOR  2012      60254.99
NOR  2013      58995.00
NOR  2014      59083.98
POL  1971     562315.00
POL  1972     575705.00
POL  1973     598548.99
POL  1974     621080.02
POL  1975     643771.99
POL  1976     670139.98
POL  1977     662582.02
POL  1978     666335.99
POL  1979     688293.00
POL  1980     692798.02
POL  1981     678696.00
POL  1982     702351.01
POL  1983     720756.00
POL  1984     699041.00
POL  1985     675764.00
POL  1986     633346.00
POL  1987     604653.00
POL  1988     589972.00
POL  1989     565654.00
POL  1990     548774.00
POL  1991     545181.00
POL  1992     512802.00
POL  1993     491924.00
POL  1994     471635.00
POL  1995     441703.00
POL  1996     428539.00
POL  1997     410704.00
POL  1998     393668.00
POL  1999     381643.00
POL  2000     379021.00
POL  2001     368027.00
POL  2002     354083.00
POL  2003     349587.00
POL  2004     354894.00
POL  2005     365012.00
POL  2006     374909.00
POL  2007     389258.00
POL  2008     413232.00
POL  2009     417335.00
POL  2010     412115.00
POL  2011     388167.00
POL  2012     388204.00
POL  2013     368784.00
POL  2014     373918.00
PRT  1940     187891.98
PRT  1941     184335.99
PRT  1942     187502.98
PRT  1943     198100.97
PRT  1944     201373.01
PRT  1945     209130.96
PRT  1946     205825.02
PRT  1947     200487.98
PRT  1948     220981.03
PRT  1949     212260.03
PRT  1950     205163.02
PRT  1951     207870.05
PRT  1952     211212.97
PRT  1953     202135.01
PRT  1954     197536.03
PRT  1955     209790.01
PRT  1956     202667.00
PRT  1957     211493.99
PRT  1958     212467.00
PRT  1959     213062.01
PRT  1960     213895.04
PRT  1961     217515.99
PRT  1962     220199.99
PRT  1963     212152.03
PRT  1964     217136.01
PRT  1965     210299.03
PRT  1966     206939.95
PRT  1967     202060.99
PRT  1968     194962.05
PRT  1969     189739.02
PRT  1970     180690.00
PRT  1971     181242.99
PRT  1972     174685.00
PRT  1973     172324.01
PRT  1974     171978.96
PRT  1975     179648.00
PRT  1976     186711.98
PRT  1977     181063.98
PRT  1978     167467.01
PRT  1979     160311.01
PRT  1980     158308.97
PRT  1981     152071.02
PRT  1982     151001.98
PRT  1983     144295.94
PRT  1984     142782.94
PRT  1985     130449.97
PRT  1986     126715.00
PRT  1987     123179.02
PRT  1988     122093.00
PRT  1989     118482.99
PRT  1990     116320.98
PRT  1991     116298.98
PRT  1992     114924.02
PRT  1993     113960.02
PRT  1994     109226.93
PRT  1995     107096.97
PRT  1996     110260.99
PRT  1997     112932.96
PRT  1998     113384.00
PRT  1999     116002.00
PRT  2000     120008.00
PRT  2001     112773.96
PRT  2002     114382.99
PRT  2003     112514.96
PRT  2004     109297.94
PRT  2005     109398.95
PRT  2006     105448.95
PRT  2007     102491.96
PRT  2008     104594.06
PRT  2009      99490.97
PRT  2010     101381.00
PRT  2011      96856.00
PRT  2012      89841.00
PRT  2013      82787.00
PRT  2014      82367.00
PRT  2015      85500.00
RUS  1959    2796227.99
RUS  1960    2782352.98
RUS  1961    2662135.00
RUS  1962    2482539.01
RUS  1963    2331504.99
RUS  1964    2121994.00
RUS  1965    1990519.98
RUS  1966    1957762.98
RUS  1967    1851041.00
RUS  1968    1816508.93
RUS  1969    1847592.03
RUS  1970    1903712.98
RUS  1971    1974636.99
RUS  1972    2014638.02
RUS  1973    1994621.02
RUS  1974    2079812.02
RUS  1975    2106147.03
RUS  1976    2146711.01
RUS  1977    2156724.03
RUS  1978    2179030.04
RUS  1979    2178542.00
RUS  1980    2202778.97
RUS  1981    2236608.01
RUS  1982    2328044.03
RUS  1983    2478321.98
RUS  1984    2409614.02
RUS  1985    2375147.02
RUS  1986    2485915.01
RUS  1987    2499974.04
RUS  1988    2348493.99
RUS  1989    2160558.98
RUS  1990    1988858.01
RUS  1991    1794625.98
RUS  1992    1587644.00
RUS  1993    1378982.98
RUS  1994    1408158.98
RUS  1995    1363805.97
RUS  1996    1304638.00
RUS  1997    1259942.99
RUS  1998    1283292.00
RUS  1999    1214689.05
RUS  2000    1266800.01
RUS  2001    1311603.99
RUS  2002    1396967.00
RUS  2003    1477301.03
RUS  2004    1502477.02
RUS  2005    1457376.00
RUS  2006    1479637.04
RUS  2007    1610121.96
RUS  2008    1713947.01
RUS  2009    1761686.97
RUS  2010    1788948.01
RUS  2011    1796628.98
RUS  2012    1902083.96
RUS  2013    1895822.00
RUS  2014    1913472.01
SVK  1950      99720.93
SVK  1951     100662.94
SVK  1952     100823.97
SVK  1953      99123.97
SVK  1954      98309.93
SVK  1955      99304.98
SVK  1956      99466.96
SVK  1957      97310.97
SVK  1958      93272.00
SVK  1959      87990.96
SVK  1960      88411.97
SVK  1961      87359.00
SVK  1962      83898.97
SVK  1963      87157.97
SVK  1964      86877.99
SVK  1965      84256.96
SVK  1966      81452.96
SVK  1967      77537.01
SVK  1968      76369.94
SVK  1969      79769.04
SVK  1970      80665.95
SVK  1971      83061.98
SVK  1972      87794.06
SVK  1973      92953.01
SVK  1974      97584.98
SVK  1975      97649.01
SVK  1976      99813.94
SVK  1977      99533.01
SVK  1978     100192.99
SVK  1979     100240.09
SVK  1980      95100.00
SVK  1981      93290.05
SVK  1982      92617.98
SVK  1983      92053.01
SVK  1984      90843.03
SVK  1985      90155.02
SVK  1986      87138.01
SVK  1987      84006.01
SVK  1988      83242.01
SVK  1989      80116.00
SVK  1990      79989.01
SVK  1991      78569.01
SVK  1992      74640.00
SVK  1993      73256.00
SVK  1994      66370.00
SVK  1995      61427.00
SVK  1996      60123.00
SVK  1997      59111.00
SVK  1998      57582.00
SVK  1999      56223.00
SVK  2000      55151.00
SVK  2001      51136.00
SVK  2002      50841.00
SVK  2003      51713.00
SVK  2004      53747.00
SVK  2005      54430.00
SVK  2006      53904.00
SVK  2007      54424.00
SVK  2008      57360.00
SVK  2009      61217.00
SVN  1983      27200.00
SVN  1984      26274.01
SVN  1985      25933.00
SVN  1986      25570.00
SVN  1987      25592.00
SVN  1988      25209.00
SVN  1989      23447.00
SVN  1990      22368.00
SVN  1991      21583.00
SVN  1992      19981.99
SVN  1993      19793.00
SVN  1994      19463.01
SVN  1995      18980.00
SVN  1996      18788.00
SVN  1997      18165.00
SVN  1998      17856.00
SVN  1999      17533.00
SVN  2000      18180.00
SVN  2001      17477.00
SVN  2002      17501.00
SVN  2003      17321.00
SVN  2004      17961.00
SVN  2005      18157.00
SVN  2006      18932.00
SVN  2007      19823.00
SVN  2008      21817.00
SVN  2009      21856.00
SVN  2010      22343.00
SVN  2011      21946.99
SVN  2012      21937.99
SVN  2013      21111.00
SVN  2014      21165.00
ESP  1922     659382.67
ESP  1923     666074.93
ESP  1924     656720.66
ESP  1925     648356.68
ESP  1926     667174.63
ESP  1927     639737.88
ESP  1928     670217.36
ESP  1929     657633.60
ESP  1930     664938.33
ESP  1931     653194.12
ESP  1932     675109.98
ESP  1933     672244.05
ESP  1934     641888.99
ESP  1935     636725.04
ESP  1936     617219.97
ESP  1937     568977.05
ESP  1938     508725.99
ESP  1939     422345.03
ESP  1940     631284.99
ESP  1941     511156.95
ESP  1942     530845.02
ESP  1943     606970.97
ESP  1944     602090.96
ESP  1945     621558.03
ESP  1946     582248.03
ESP  1947     585468.97
ESP  1948     638797.04
ESP  1949     598775.94
ESP  1950     562376.03
ESP  1951     564517.00
ESP  1952     590122.96
ESP  1953     586462.04
ESP  1954     575262.02
ESP  1955     596026.00
ESP  1956     605208.00
ESP  1957     643317.02
ESP  1958     650039.03
ESP  1959     651219.95
ESP  1960     661129.00
ESP  1961     651558.03
ESP  1962     655829.03
ESP  1963     668472.03
ESP  1964     694624.99
ESP  1965     673551.07
ESP  1966     667163.02
ESP  1967     677487.00
ESP  1968     664947.98
ESP  1969     664114.01
ESP  1970     661065.03
ESP  1971     669430.00
ESP  1972     669977.02
ESP  1973     670598.05
ESP  1974     686219.96
ESP  1975     668596.00
ESP  1976     676718.00
ESP  1977     655525.00
ESP  1978     636083.00
ESP  1979     601481.00
ESP  1980     570646.00
ESP  1981     532601.00
ESP  1982     515332.00
ESP  1983     484846.00
ESP  1984     472820.00
ESP  1985     455937.00
ESP  1986     438303.00
ESP  1987     426399.00
ESP  1988     418437.00
ESP  1989     408024.00
ESP  1990     401073.00
ESP  1991     395652.00
ESP  1992     396670.00
ESP  1993     385718.00
ESP  1994     369577.00
ESP  1995     363467.00
ESP  1996     361947.00
ESP  1997     368361.00
ESP  1998     364427.00
ESP  1999     379214.00
ESP  2000     396626.00
ESP  2001     405313.00
ESP  2002     417688.00
ESP  2003     440531.00
ESP  2004     453172.00
ESP  2005     464811.00
ESP  2006     481295.00
ESP  2007     491138.00
ESP  2008     518503.00
ESP  2009     493717.00
ESP  2010     485252.00
ESP  2011     470553.00
ESP  2012     453348.00
ESP  2013     424440.00
ESP  2014     426076.00
SWE  1891     135516.03
SWE  1892     129621.97
SWE  1893     131728.94
SWE  1894     131409.01
SWE  1895     134599.00
SWE  1896     134308.03
SWE  1897     132999.03
SWE  1898     136523.02
SWE  1899     133881.97
SWE  1900     138139.03
SWE  1901     139369.99
SWE  1902     137364.00
SWE  1903     133896.00
SWE  1904     134952.03
SWE  1905     135409.03
SWE  1906     136619.97
SWE  1907     136793.01
SWE  1908     138874.03
SWE  1909     139504.98
SWE  1910     135624.99
SWE  1911     132977.01
SWE  1912     132867.99
SWE  1913     130200.01
SWE  1914     129457.98
SWE  1915     122997.01
SWE  1916     121679.01
SWE  1917     120855.00
SWE  1918     117954.99
SWE  1919     115192.99
SWE  1920     138753.02
SWE  1921     127723.02
SWE  1922     116946.00
SWE  1923     113435.01
SWE  1924     109054.99
SWE  1925     106292.01
SWE  1926     102007.03
SWE  1927      97994.01
SWE  1928      97868.00
SWE  1929      92861.00
SWE  1930      94220.02
SWE  1931      91073.99
SWE  1932      89779.00
SWE  1933      85020.01
SWE  1934      85091.99
SWE  1935      85906.02
SWE  1936      88938.02
SWE  1937      90372.98
SWE  1938      93945.98
SWE  1939      97380.01
SWE  1940      95777.99
SWE  1941      99726.97
SWE  1942     113960.99
SWE  1943     125391.98
SWE  1944     134990.99
SWE  1945     135372.98
SWE  1946     132597.00
SWE  1947     128779.03
SWE  1948     126683.04
SWE  1949     121272.02
SWE  1950     115413.95
SWE  1951     110168.06
SWE  1952     110191.99
SWE  1953     110144.00
SWE  1954     105095.97
SWE  1955     107305.00
SWE  1956     107959.98
SWE  1957     107168.02
SWE  1958     105502.02
SWE  1959     104743.00
SWE  1960     102219.02
SWE  1961     104501.00
SWE  1962     107284.00
SWE  1963     112903.00
SWE  1964     122664.00
SWE  1965     122806.00
SWE  1966     123354.00
SWE  1967     121360.00
SWE  1968     113087.00
SWE  1969     107622.00
SWE  1970     110180.00
SWE  1971     114538.00
SWE  1972     112433.00
SWE  1973     109788.00
SWE  1974     110045.00
SWE  1975     103759.00
SWE  1976      98412.00
SWE  1977      96142.00
SWE  1978      93346.00
SWE  1979      96387.00
SWE  1980      97230.00
SWE  1981      94183.00
SWE  1982      93087.00
SWE  1983      91879.00
SWE  1984      94012.00
SWE  1985      98532.00
SWE  1986     101967.00
SWE  1987     104798.00
SWE  1988     112392.00
SWE  1989     116378.00
SWE  1990     124489.00
SWE  1991     123824.00
SWE  1992     122336.00
SWE  1993     117395.00
SWE  1994     112312.00
SWE  1995     103483.00
SWE  1996      95424.00
SWE  1997      90691.00
SWE  1998      89781.00
SWE  1999      88999.00
SWE  2000      91313.00
SWE  2001      92217.00
SWE  2002      96737.00
SWE  2003     100206.00
SWE  2004     102029.00
SWE  2005     102381.00
SWE  2006     106802.00
SWE  2007     108173.00
SWE  2008     109912.00
SWE  2009     111937.00
SWE  2010     115762.00
SWE  2011     111690.00
SWE  2012     113177.00
SWE  2013     113593.00
SWE  2014     114907.00
CHE  1932      68650.00
CHE  1933      67509.00
CHE  1934      67276.99
CHE  1935      66378.00
CHE  1936      64966.01
CHE  1937      62479.99
CHE  1938      63790.01
CHE  1939      63837.00
CHE  1940      64115.00
CHE  1941      71925.99
CHE  1942      78875.00
CHE  1943      83048.98
CHE  1944      85627.00
CHE  1945      88522.00
CHE  1946      89126.00
CHE  1947      87724.00
CHE  1948      87763.00
CHE  1949      85308.00
CHE  1950      84776.00
CHE  1951      81903.00
CHE  1952      83549.00
CHE  1953      83029.00
CHE  1954      83741.00
CHE  1955      85331.00
CHE  1956      87912.00
CHE  1957      90823.00
CHE  1958      91421.00
CHE  1959      92973.00
CHE  1960      94372.00
CHE  1961      99238.00
CHE  1962     104322.00
CHE  1963     109993.00
CHE  1964     112890.00
CHE  1965     111835.00
CHE  1966     109738.00
CHE  1967     107417.00
CHE  1968     105130.00
CHE  1969     102520.00
CHE  1970      99216.00
CHE  1971      96261.00
CHE  1972      91342.00
CHE  1973      87518.00
CHE  1974      84507.00
CHE  1975      78464.00
CHE  1976      74199.00
CHE  1977      72829.00
CHE  1978      71375.00
CHE  1979      71986.00
CHE  1980      73661.00
CHE  1981      73747.00
CHE  1982      74916.00
CHE  1983      73659.00
CHE  1984      74710.00
CHE  1985      74684.00
CHE  1986      76320.01
CHE  1987      76505.01
CHE  1988      80345.00
CHE  1989      81180.00
CHE  1990      83939.00
CHE  1991      86200.00
CHE  1992      86910.00
CHE  1993      83762.00
CHE  1994      82980.00
CHE  1995      82203.00
CHE  1996      83007.00
CHE  1997      80584.00
CHE  1998      78949.00
CHE  1999      78408.00
CHE  2000      78458.00
CHE  2001      72294.99
CHE  2002      72371.99
CHE  2003      71848.00
CHE  2004      73081.98
CHE  2005      72903.00
CHE  2006      73371.01
CHE  2007      74494.00
CHE  2008      76690.99
CHE  2009      78286.00
CHE  2010      80290.00
CHE  2011      80807.99
CHE  2012      82164.00
CHE  2013      82731.00
CHE  2014      85287.00
TWN  1976     424676.99
TWN  1977     393633.01
TWN  1978     411637.01
TWN  1979     421720.01
TWN  1980     411892.99
TWN  1981     414507.99
TWN  1982     401904.99
TWN  1983     381029.01
TWN  1984     368811.98
TWN  1985     342958.99
TWN  1986     306328.02
TWN  1987     313282.00
TWN  1988     342226.98
TWN  1989     312984.00
TWN  1990     336306.00
TWN  1991     319680.01
TWN  1992     321405.00
TWN  1993     325994.01
TWN  1994     323767.99
TWN  1995     326546.99
TWN  1996     324317.00
TWN  1997     324980.03
TWN  1998     268880.99
TWN  1999     284072.99
TWN  2000     307200.01
TWN  2001     257865.99
TWN  2002     246758.01
TWN  2003     227447.00
TWN  2004     217685.02
TWN  2005     206465.00
TWN  2006     205720.00
TWN  2007     203711.01
TWN  2008     196486.00
TWN  2009     192132.98
TWN  2010     166472.99
TWN  2011     198347.99
TWN  2012     234599.00
TWN  2013     194939.00
TWN  2014     211399.00
UKR  1959     880552.00
UKR  1960     878768.01
UKR  1961     843482.01
UKR  1962     823151.04
UKR  1963     794969.03
UKR  1964     741668.05
UKR  1965     692153.01
UKR  1966     713492.01
UKR  1967     699381.02
UKR  1968     693064.00
UKR  1969     687991.00
UKR  1970     719213.03
UKR  1971     736690.96
UKR  1972     745696.01
UKR  1973     719559.90
UKR  1974     736615.96
UKR  1975     738857.02
UKR  1976     747068.98
UKR  1977     726217.02
UKR  1978     732186.96
UKR  1979     735188.00
UKR  1980     742488.99
UKR  1981     733183.02
UKR  1982     745591.00
UKR  1983     807111.01
UKR  1984     792035.01
UKR  1985     762774.98
UKR  1986     792574.02
UKR  1987     760851.02
UKR  1988     744055.97
UKR  1989     690981.00
UKR  1990     657202.00
UKR  1991     630813.01
UKR  1992     596785.05
UKR  1993     557466.99
UKR  1994     521544.98
UKR  1995     492861.00
UKR  1996     467211.07
UKR  1997     442581.01
UKR  1998     419237.98
UKR  1999     389208.06
UKR  2000     385126.01
UKR  2001     376477.99
UKR  2002     390687.99
UKR  2003     408588.96
UKR  2004     427259.01
UKR  2005     426086.05
UKR  2006     460367.99
UKR  2007     472657.01
UKR  2008     510589.03
UKR  2009     512525.02
UKR  2010     497688.97
UKR  2011     502594.98
UKR  2012     520705.02
UKR  2013     503657.03
GBR_NP  1974     737136.96
GBR_NP  1975     697518.03
GBR_NP  1976     675525.99
GBR_NP  1977     657038.02
GBR_NP  1978     686951.03
GBR_NP  1979     734571.98
GBR_NP  1980     753706.06
GBR_NP  1981     730711.95
GBR_NP  1982     718999.01
GBR_NP  1983     721237.98
GBR_NP  1984     729401.02
GBR_NP  1985     750520.04
GBR_NP  1986     754804.99
GBR_NP  1987     775405.02
GBR_NP  1988     787302.97
GBR_NP  1989     777035.97
GBR_NP  1990     798364.02
GBR_NP  1991     792268.98
GBR_NP  1992     780798.98
GBR_NP  1993     761526.02
GBR_NP  1994     750480.01
GBR_NP  1995     731881.99
GBR_NP  1996     733162.99
GBR_NP  1997     726622.04
GBR_NP  1998     716887.96
GBR_NP  1999     699976.07
GBR_NP  2000     679028.96
GBR_NP  2001     669123.02
GBR_NP  2002     668776.98
GBR_NP  2003     695549.00
GBR_NP  2004     715996.01
GBR_NP  2005     722548.99
GBR_NP  2006     748562.98
GBR_NP  2007     772245.02
GBR_NP  2008     794383.02
GBR_NP  2009     790204.03
GBR_NP  2010     807271.01
GBR_NP  2011     807775.94
GBR_NP  2012     812969.99
GBR_NP  2013     778802.99
GBR_NP  2014     776352.09
GBRTENW  1938     621203.99
GBRTENW  1939     614478.99
GBRTENW  1940     590120.00
GBRTENW  1941     579091.02
GBRTENW  1942     651503.01
GBRTENW  1943     684334.00
GBRTENW  1944     751477.99
GBRTENW  1945     679936.96
GBRTENW  1946     820718.98
GBRTENW  1947     881026.03
GBRTENW  1948     775305.99
GBRTENW  1949     730517.99
GBRTENW  1950     697097.01
GBRTENW  1951     677529.01
GBRTENW  1952     673735.01
GBRTENW  1953     684372.02
GBRTENW  1954     673651.01
GBRTENW  1955     667811.02
GBRTENW  1956     700335.01
GBRTENW  1957     723380.98
GBRTENW  1958     740714.98
GBRTENW  1959     748501.01
GBRTENW  1960     785005.01
GBRTENW  1961     811281.01
GBRTENW  1962     838736.00
GBRTENW  1963     854054.99
GBRTENW  1964     875972.00
GBRTENW  1965     862725.01
GBRTENW  1966     849823.01
GBRTENW  1967     832164.01
GBRTENW  1968     819271.99
GBRTENW  1969     797538.00
GBRTENW  1970     784486.01
GBRTENW  1971     783154.99
GBRTENW  1972     725439.99
GBRTENW  1973     675952.99
GBRTENW  1974     639885.00
GBRTENW  1975     603445.01
GBRTENW  1976     584269.99
GBRTENW  1977     569259.00
GBRTENW  1978     596418.02
GBRTENW  1979     638027.99
GBRTENW  1980     656234.00
GBRTENW  1981     634492.01
GBRTENW  1982     625930.99
GBRTENW  1983     629133.99
GBRTENW  1984     636818.01
GBRTENW  1985     656416.99
GBRTENW  1986     661018.00
GBRTENW  1987     681511.00
GBRTENW  1988     693577.00
GBRTENW  1989     687725.00
GBRTENW  1990     706139.99
GBRTENW  1991     699217.00
GBRTENW  1992     689656.01
GBRTENW  1993     673467.01
GBRTENW  1994     664726.00
GBRTENW  1995     648138.01
GBRTENW  1996     649485.00
GBRTENW  1997     643095.01
GBRTENW  1998     635900.99
GBRTENW  1999     621872.02
GBRTENW  2000     604440.99
GBRTENW  2001     594633.99
GBRTENW  2002     596122.00
GBRTENW  2003     621469.02
GBRTENW  2004     639721.02
GBRTENW  2005     645835.00
GBRTENW  2006     669601.01
GBRTENW  2007     690013.02
GBRTENW  2008     708711.00
GBRTENW  2009     706248.00
GBRTENW  2010     723164.99
GBRTENW  2011     723912.99
GBRTENW  2012     729673.99
GBRTENW  2013     698512.00
GBRTENW  2014     695232.99
GBR_SCO  1945      86923.98
GBR_SCO  1946     104412.98
GBR_SCO  1947     113147.01
GBR_SCO  1948     100343.99
GBR_SCO  1949      95674.04
GBR_SCO  1950      92529.96
GBR_SCO  1951      90638.98
GBR_SCO  1952      90422.01
GBR_SCO  1953      90913.00
GBR_SCO  1954      92315.03
GBR_SCO  1955      92539.02
GBR_SCO  1956      95312.99
GBR_SCO  1957      97977.00
GBR_SCO  1958      99481.03
GBR_SCO  1959      99250.97
GBR_SCO  1960     101292.01
GBR_SCO  1961     101169.01
GBR_SCO  1962     104334.00
GBR_SCO  1963     102691.02
GBR_SCO  1964     104354.98
GBR_SCO  1965     100660.01
GBR_SCO  1966      96536.01
GBR_SCO  1967      96220.99
GBR_SCO  1968      94785.99
GBR_SCO  1969      90289.98
GBR_SCO  1970      87334.98
GBR_SCO  1971      86727.98
GBR_SCO  1972      78549.98
GBR_SCO  1973      74392.01
GBR_SCO  1974      70091.96
GBR_SCO  1975      67943.02
GBR_SCO  1976      64895.00
GBR_SCO  1977      62342.02
GBR_SCO  1978      64294.01
GBR_SCO  1979      68365.99
GBR_SCO  1980      68890.06
GBR_SCO  1981      69053.94
GBR_SCO  1982      66196.02
GBR_SCO  1983      65077.99
GBR_SCO  1984      65106.01
GBR_SCO  1985      66676.05
GBR_SCO  1986      65811.99
GBR_SCO  1987      66241.02
GBR_SCO  1988      66211.97
GBR_SCO  1989      63479.97
GBR_SCO  1990      65973.03
GBR_SCO  1991      67023.98
GBR_SCO  1992      65788.97
GBR_SCO  1993      63337.01
GBR_SCO  1994      61656.01
GBR_SCO  1995      60050.98
GBR_SCO  1996      59295.99
GBR_SCO  1997      59440.03
GBR_SCO  1998      57318.97
GBR_SCO  1999      55147.05
GBR_SCO  2000      53075.97
GBR_SCO  2001      52527.03
GBR_SCO  2002      51269.98
GBR_SCO  2003      52431.98
GBR_SCO  2004      53956.99
GBR_SCO  2005      54385.99
GBR_SCO  2006      55689.97
GBR_SCO  2007      57781.00
GBR_SCO  2008      60041.02
GBR_SCO  2009      59046.03
GBR_SCO  2010      58791.02
GBR_SCO  2011      58589.95
GBR_SCO  2012      58027.00
GBR_SCO  2013      56013.99
GBR_SCO  2014      56725.10
GBR_NIR  1974      27160.00
GBR_NIR  1975      26130.00
GBR_NIR  1976      26361.00
GBR_NIR  1977      25437.00
GBR_NIR  1978      26239.00
GBR_NIR  1979      28178.00
GBR_NIR  1980      28582.00
GBR_NIR  1981      27166.00
GBR_NIR  1982      26872.00
GBR_NIR  1983      27026.00
GBR_NIR  1984      27477.00
GBR_NIR  1985      27427.00
GBR_NIR  1986      27975.00
GBR_NIR  1987      27653.00
GBR_NIR  1988      27514.00
GBR_NIR  1989      25831.00
GBR_NIR  1990      26251.00
GBR_NIR  1991      26028.00
GBR_NIR  1992      25354.00
GBR_NIR  1993      24722.00
GBR_NIR  1994      24098.00
GBR_NIR  1995      23693.00
GBR_NIR  1996      24382.00
GBR_NIR  1997      24087.00
GBR_NIR  1998      23668.00
GBR_NIR  1999      22957.00
GBR_NIR  2000      21512.00
GBR_NIR  2001      21962.00
GBR_NIR  2002      21385.00
GBR_NIR  2003      21648.00
GBR_NIR  2004      22318.00
GBR_NIR  2005      22328.00
GBR_NIR  2006      23272.00
GBR_NIR  2007      24451.00
GBR_NIR  2008      25631.00
GBR_NIR  2009      24910.00
GBR_NIR  2010      25315.00
GBR_NIR  2011      25273.00
GBR_NIR  2012      25269.00
GBR_NIR  2013      24277.00
GBR_NIR  2014      24394.00
USA  1933    2081231.93
USA  1934    2167635.98
USA  1935    2155105.01
USA  1936    2144790.00
USA  1937    2203336.98
USA  1938    2286961.95
USA  1939    2265587.99
USA  1940    2360398.98
USA  1941    2513426.99
USA  1942    2808996.01
USA  1943    2934859.99
USA  1944    2794800.01
USA  1945    2735456.02
USA  1946    3288672.02
USA  1947    3699940.03
USA  1948    3535067.97
USA  1949    3559529.00
USA  1950    3554149.01
USA  1951    3750850.00
USA  1952    3846985.96
USA  1953    3902120.01
USA  1954    4017362.05
USA  1955    4047294.97
USA  1956    4163090.00
USA  1957    4254784.01
USA  1958    4203812.00
USA  1959    4244796.02
USA  1960    4257850.00
USA  1961    4268325.99
USA  1962    4167362.00
USA  1963    4098020.00
USA  1964    4027490.00
USA  1965    3760358.00
USA  1966    3606274.00
USA  1967    3520959.00
USA  1968    3501564.00
USA  1969    3600206.00
USA  1970    3731386.00
USA  1971    3555970.00
USA  1972    3258411.00
USA  1973    3136965.00
USA  1974    3159958.00
USA  1975    3144198.00
USA  1976    3167788.00
USA  1977    3326632.00
USA  1978    3333279.00
USA  1979    3494398.00
USA  1980    3612258.00
USA  1981    3629238.00
USA  1982    3680537.00
USA  1983    3638933.00
USA  1984    3669141.00
USA  1985    3760561.00
USA  1986    3756547.00
USA  1987    3809394.00
USA  1988    3909510.00
USA  1989    4040958.00
USA  1990    4158212.00
USA  1991    4110907.00
USA  1992    4065014.00
USA  1993    4000240.00
USA  1994    3952767.00
USA  1995    3899589.00
USA  1996    3891494.00
USA  1997    3880894.00
USA  1998    3941553.00
USA  1999    3959417.00
USA  2000    4058814.00
USA  2001    4025933.00
USA  2002    4021726.00
USA  2003    4089949.99
USA  2004    4112052.00
USA  2005    4138349.01
USA  2006    4265555.00
USA  2007    4316233.00
USA  2008    4247694.00
USA  2009    4130665.00
USA  2010    3999385.99
USA  2011    3953589.99
USA  2012    3952841.00
USA  2013    3932180.99
USA  2014    3988075.99
USA  2015    3978497.00
