Total live births
Last modified: 06/10/2017
Code Year         Total
CAN  2007     367866.00
CAN  2008     377886.05
CAN  2009     380862.97
CAN  2010     377210.05
CAN  2011     377634.98
CHL  1992     294217.98
CHL  1993     289418.99
CHL  1994     285227.99
CHL  1995     275756.02
CHL  1996     272160.95
CHL  1997     265493.04
CHL  1998     261803.04
CHL  1999     254095.99
CHL  2000     251992.99
CHL  2001     248653.00
CHL  2002     241006.00
CHL  2003     236198.00
CHL  2004     232576.98
CHL  2005     231963.03
CZE  1950     188340.99
CZE  1951     185570.02
CZE  1952     180142.94
CZE  1953     172547.02
CZE  1954     168401.96
CZE  1955     165874.03
CZE  1956     162508.93
CZE  1957     155429.01
CZE  1958     141762.02
CZE  1959     128982.01
CZE  1960     128879.01
CZE  1961     131019.01
CZE  1962     133556.94
CZE  1963     148839.97
CZE  1964     154419.97
CZE  1965     147438.01
CZE  1966     141161.95
CZE  1967     138448.03
CZE  1968     137437.01
CZE  1969     143164.98
CZE  1970     147865.09
CZE  1971     154179.98
CZE  1972     163661.00
CZE  1973     181750.03
CZE  1974     194215.00
CZE  1975     191775.98
CZE  1976     187378.01
CZE  1977     181763.02
CZE  1978     178900.96
CZE  1979     172112.01
CZE  1980     153800.95
CZE  1981     144437.98
CZE  1982     141737.99
CZE  1983     137431.01
CZE  1984     136940.96
CZE  1985     135881.02
CZE  1986     133356.00
CZE  1987     130921.01
CZE  1988     132667.00
CZE  1989     128356.01
CZE  1990     130564.00
CZE  1991     129354.00
CZE  1992     121705.00
CZE  1993     121025.00
CZE  1994     106579.00
CZE  1995      96097.00
CZE  1996      90446.00
CZE  1997      90657.00
CZE  1998      90535.00
CZE  1999      89471.00
CZE  2000      90910.00
CZE  2001      90715.00
CZE  2002      92786.00
CZE  2003      93685.00
CZE  2004      97664.00
CZE  2005     102211.00
CZE  2006     105831.00
CZE  2007     114632.00
CZE  2008     119570.00
CZE  2009     118348.00
CZE  2010     117153.00
CZE  2011     108673.00
CZE  2012     108576.00
CZE  2013     106751.00
CZE  2014     109860.00
EST  1959      19946.06
EST  1960      20182.95
EST  1961      20254.00
EST  1962      19961.00
EST  1963      19279.99
EST  1964      19637.99
EST  1965      18914.00
EST  1966      18640.96
EST  1967      18693.00
EST  1968      19792.02
EST  1969      20866.01
EST  1970      21566.98
EST  1971      22133.98
EST  1972      21774.97
EST  1973      21248.94
EST  1974      21480.00
EST  1975      21395.00
EST  1976      21814.96
EST  1977      22033.98
EST  1978      21860.99
EST  1979      21941.01
EST  1980      22204.03
EST  1981      22937.01
EST  1982      23127.97
EST  1983      24154.97
EST  1984      24234.01
EST  1985      23630.01
EST  1986      24106.00
EST  1987      25086.01
EST  1988      25060.01
EST  1989      24318.00
EST  1990      22303.98
EST  1991      19413.02
EST  1992      18037.99
EST  1993      15253.01
EST  1994      14175.98
EST  1995      13508.95
EST  1996      13241.99
EST  1997      12577.00
EST  1998      12166.97
EST  1999      12424.99
EST  2000      13066.98
EST  2001      12632.01
EST  2002      13000.98
EST  2003      13036.00
EST  2004      13991.99
EST  2005      14350.00
EST  2006      14877.00
EST  2007      15775.00
EST  2008      16028.00
EST  2009      15763.00
EST  2010      15825.00
EST  2011      14679.00
EST  2012      14056.00
EST  2013      13531.00
EST  2014      13551.00
FIN  1939      78163.99
FIN  1940      65849.02
FIN  1941      89565.02
FIN  1942      61671.99
FIN  1943      76111.98
FIN  1944      79446.02
FIN  1945      95758.04
FIN  1946     106074.98
FIN  1947     108167.99
FIN  1948     107759.05
FIN  1949     103514.98
FIN  1950      98065.02
FIN  1951      93062.95
FIN  1952      94313.99
FIN  1953      90866.02
FIN  1954      89845.01
FIN  1955      89739.99
FIN  1956      88896.00
FIN  1957      86985.00
FIN  1958      81147.97
FIN  1959      83253.03
FIN  1960      82129.01
FIN  1961      81996.00
FIN  1962      81454.00
FIN  1963      82251.00
FIN  1964      80428.01
FIN  1965      77884.99
FIN  1966      77696.95
FIN  1967      77289.01
FIN  1968      73654.01
FIN  1969      67450.00
FIN  1970      64559.00
FIN  1971      61067.00
FIN  1972      58864.00
FIN  1973      56787.00
FIN  1974      62472.00
FIN  1975      65719.50
FIN  1976      66846.50
FIN  1977      65659.51
FIN  1978      63983.98
FIN  1979      63429.52
FIN  1980      63069.44
FIN  1981      63482.35
FIN  1982      66116.71
FIN  1983      66867.51
FIN  1984      65081.11
FIN  1985      62808.08
FIN  1986      60654.41
FIN  1987      59844.40
FIN  1988      63328.13
FIN  1989      63353.18
FIN  1990      65530.16
FIN  1991      65407.65
FIN  1992      66770.54
FIN  1993      64858.71
FIN  1994      65201.74
FIN  1995      63070.44
FIN  1996      60722.27
FIN  1997      59330.73
FIN  1998      57092.34
FIN  1999      57571.12
FIN  2000      56729.77
FIN  2001      56184.75
FIN  2002      55554.95
FIN  2003      56608.96
FIN  2004      57738.06
FIN  2005      57735.78
FIN  2006      58827.25
FIN  2007      58728.23
FIN  2008      59529.33
FIN  2009      60438.90
FIN  2010      60982.64
FIN  2011      59949.88
FIN  2012      59479.48
FIN  2013      58135.79
FIN  2014      57238.20
FIN  2015      55452.00
FRATNP  1946     843904.00
FRATNP  1947     870472.00
FRATNP  1948     870836.00
FRATNP  1949     872661.00
FRATNP  1950     862310.00
FRATNP  1951     826722.00
FRATNP  1952     822204.00
FRATNP  1953     804696.00
FRATNP  1954     810754.00
FRATNP  1955     805917.00
FRATNP  1956     806916.00
FRATNP  1957     816467.00
FRATNP  1958     812215.00
FRATNP  1959     829249.00
FRATNP  1960     819819.00
FRATNP  1961     838633.00
FRATNP  1962     832353.00
FRATNP  1963     868876.00
FRATNP  1964     877804.00
FRATNP  1965     865688.00
FRATNP  1966     863527.00
FRATNP  1967     840568.00
FRATNP  1968     835796.00
FRATNP  1969     842245.00
FRATNP  1970     850381.00
FRATNP  1971     881284.00
FRATNP  1972     877506.00
FRATNP  1973     857186.00
FRATNP  1974     801218.00
FRATNP  1975     745065.00
FRATNP  1976     720395.00
FRATNP  1977     744744.00
FRATNP  1978     737062.00
FRATNP  1979     757354.00
FRATNP  1980     800376.00
FRATNP  1981     805483.00
FRATNP  1982     797223.00
FRATNP  1983     748525.00
FRATNP  1984     759939.00
FRATNP  1985     768431.00
FRATNP  1986     778468.00
FRATNP  1987     767828.00
FRATNP  1988     771268.00
FRATNP  1989     765473.00
FRATNP  1990     762407.00
FRATNP  1991     759056.00
FRATNP  1992     743658.00
FRATNP  1993     711610.00
FRATNP  1994     710993.00
FRATNP  1995     729609.00
FRATNP  1996     734338.00
FRATNP  1997     726768.00
FRATNP  1998     738080.00
FRATNP  1999     744791.00
