"Notes"	"County"	"CountyCode"	"AgeofMother9"	"AgeofMother9Code"	"Year"	"YearCode"	Births	FemalePopulation	FertilityRate
	"Gwinnett County, GA"	"13135"	"35-39 years"	"35-39"	"2006"	"2006"	1856	33708	55.06
	"Gwinnett County, GA"	"13135"	"40-44 years"	"40-44"	"2006"	"2006"	394	33426	11.79
	"Gwinnett County, GA"	"13135"	"45-49 years"	"45-49"	"2006"	"2006"	24	Not Available	Not Available
	"Hall County, GA"	"13139"	"15-19 years"	"15-19"	"2006"	"2006"	370	5458	67.79
	"Hall County, GA"	"13139"	"20-24 years"	"20-24"	"2006"	"2006"	831	5483	151.56
	"Hall County, GA"	"13139"	"25-29 years"	"25-29"	"2006"	"2006"	899	6116	146.99
	"Hall County, GA"	"13139"	"30-34 years"	"30-34"	"2006"	"2006"	600	5802	103.41
	"Hall County, GA"	"13139"	"35-39 years"	"35-39"	"2006"	"2006"	272	6146	44.26
	"Hall County, GA"	"13139"	"40-44 years"	"40-44"	"2006"	"2006"	51	6013	8.48
	"Henry County, GA"	"13151"	"15-19 years"	"15-19"	"2006"	"2006"	263	6677	39.39
	"Henry County, GA"	"13151"	"20-24 years"	"20-24"	"2006"	"2006"	663	4872	136.08
	"Henry County, GA"	"13151"	"25-29 years"	"25-29"	"2006"	"2006"	836	6152	135.89
	"Henry County, GA"	"13151"	"30-34 years"	"30-34"	"2006"	"2006"	708	7398	95.70
	"Henry County, GA"	"13151"	"35-39 years"	"35-39"	"2006"	"2006"	352	8622	40.83
	"Henry County, GA"	"13151"	"40-44 years"	"40-44"	"2006"	"2006"	54	8363	6.46
	"Houston County, GA"	"13153"	"15-19 years"	"15-19"	"2006"	"2006"	239	4772	50.08
	"Houston County, GA"	"13153"	"20-24 years"	"20-24"	"2006"	"2006"	621	4615	134.56
	"Houston County, GA"	"13153"	"25-29 years"	"25-29"	"2006"	"2006"	636	4764	133.50
	"Houston County, GA"	"13153"	"30-34 years"	"30-34"	"2006"	"2006"	358	4419	81.01
	"Houston County, GA"	"13153"	"35-39 years"	"35-39"	"2006"	"2006"	145	4677	31.00
	"Houston County, GA"	"13153"	"40-44 years"	"40-44"	"2006"	"2006"	28	5400	5.19
	"Muscogee County, GA"	"13215"	"15-19 years"	"15-19"	"2006"	"2006"	460	6791	67.74
	"Muscogee County, GA"	"13215"	"20-24 years"	"20-24"	"2006"	"2006"	1083	7442	145.53
	"Muscogee County, GA"	"13215"	"25-29 years"	"25-29"	"2006"	"2006"	880	7217	121.93
	"Muscogee County, GA"	"13215"	"30-34 years"	"30-34"	"2006"	"2006"	437	6435	67.91
	"Muscogee County, GA"	"13215"	"35-39 years"	"35-39"	"2006"	"2006"	228	6258	36.43
	"Muscogee County, GA"	"13215"	"40-44 years"	"40-44"	"2006"	"2006"	32	6615	4.84
	"Richmond County, GA"	"13245"	"15-19 years"	"15-19"	"2006"	"2006"	537	7608	70.58
	"Richmond County, GA"	"13245"	"20-24 years"	"20-24"	"2006"	"2006"	1145	8431	135.81
	"Richmond County, GA"	"13245"	"25-29 years"	"25-29"	"2006"	"2006"	940	8002	117.47
	"Richmond County, GA"	"13245"	"30-34 years"	"30-34"	"2006"	"2006"	494	6322	78.14
	"Richmond County, GA"	"13245"	"35-39 years"	"35-39"	"2006"	"2006"	193	6317	30.55
	"Richmond County, GA"	"13245"	"40-44 years"	"40-44"	"2006"	"2006"	40	6973	5.74
	"Unidentified Counties, GA"	"13999"	"15-19 years"	"15-19"	"2006"	"2006"	9445	161401	58.52
	"Unidentified Counties, GA"	"13999"	"20-24 years"	"20-24"	"2006"	"2006"	21167	142140	148.92
	"Unidentified Counties, GA"	"13999"	"25-29 years"	"25-29"	"2006"	"2006"	18043	140217	128.68
	"Unidentified Counties, GA"	"13999"	"30-34 years"	"30-34"	"2006"	"2006"	11516	142069	81.06
	"Unidentified Counties, GA"	"13999"	"35-39 years"	"35-39"	"2006"	"2006"	5243	159262	32.92
	"Unidentified Counties, GA"	"13999"	"40-44 years"	"40-44"	"2006"	"2006"	1031	168768	6.11
	"Unidentified Counties, GA"	"13999"	"45-49 years"	"45-49"	"2006"	"2006"	42	Not Available	Not Available
	"Hawaii County, HI"	"15001"	"15-19 years"	"15-19"	"2006"	"2006"	304	6083	49.98
	"Hawaii County, HI"	"15001"	"20-24 years"	"20-24"	"2006"	"2006"	698	5230	133.46
	"Hawaii County, HI"	"15001"	"25-29 years"	"25-29"	"2006"	"2006"	626	5192	120.57
	"Hawaii County, HI"	"15001"	"30-34 years"	"30-34"	"2006"	"2006"	435	4587	94.83
	"Hawaii County, HI"	"15001"	"35-39 years"	"35-39"	"2006"	"2006"	237	4981	47.58
	"Hawaii County, HI"	"15001"	"40-44 years"	"40-44"	"2006"	"2006"	75	6050	12.40
	"Honolulu County, HI"	"15003"	"15-19 years"	"15-19"	"2006"	"2006"	1042	28782	36.20
	"Honolulu County, HI"	"15003"	"20-24 years"	"20-24"	"2006"	"2006"	3273	32676	100.17
	"Honolulu County, HI"	"15003"	"25-29 years"	"25-29"	"2006"	"2006"	3720	33071	112.49
	"Honolulu County, HI"	"15003"	"30-34 years"	"30-34"	"2006"	"2006"	3224	29394	109.68
	"Honolulu County, HI"	"15003"	"35-39 years"	"35-39"	"2006"	"2006"	1950	31776	61.37
	"Honolulu County, HI"	"15003"	"40-44 years"	"40-44"	"2006"	"2006"	477	32823	14.53
	"Honolulu County, HI"	"15003"	"45-49 years"	"45-49"	"2006"	"2006"	29	Not Available	Not Available
	"Maui County, HI"	"15009"	"15-19 years"	"15-19"	"2006"	"2006"	186	4605	40.39
	"Maui County, HI"	"15009"	"20-24 years"	"20-24"	"2006"	"2006"	496	4169	118.97
	"Maui County, HI"	"15009"	"25-29 years"	"25-29"	"2006"	"2006"	557	4670	119.27
	"Maui County, HI"	"15009"	"30-34 years"	"30-34"	"2006"	"2006"	421	4554	92.45
	"Maui County, HI"	"15009"	"35-39 years"	"35-39"	"2006"	"2006"	302	5127	58.90
	"Maui County, HI"	"15009"	"40-44 years"	"40-44"	"2006"	"2006"	67	5586	11.99
	"Unidentified Counties, HI"	"15999"	"15-19 years"	"15-19"	"2006"	"2006"	87	2072	41.99
	"Unidentified Counties, HI"	"15999"	"20-24 years"	"20-24"	"2006"	"2006"	201	1665	120.72
	"Unidentified Counties, HI"	"15999"	"25-29 years"	"25-29"	"2006"	"2006"	220	1784	123.32
	"Unidentified Counties, HI"	"15999"	"30-34 years"	"30-34"	"2006"	"2006"	193	1740	110.92
	"Unidentified Counties, HI"	"15999"	"35-39 years"	"35-39"	"2006"	"2006"	110	1968	55.89
	"Unidentified Counties, HI"	"15999"	"40-44 years"	"40-44"	"2006"	"2006"	27	2280	11.84
	"Ada County, ID"	"16001"	"15-19 years"	"15-19"	"2006"	"2006"	351	12122	28.96
	"Ada County, ID"	"16001"	"20-24 years"	"20-24"	"2006"	"2006"	1341	12242	109.54
	"Ada County, ID"	"16001"	"25-29 years"	"25-29"	"2006"	"2006"	1873	13883	134.91
	"Ada County, ID"	"16001"	"30-34 years"	"30-34"	"2006"	"2006"	1391	12526	111.05
	"Ada County, ID"	"16001"	"35-39 years"	"35-39"	"2006"	"2006"	630	13490	46.70
	"Ada County, ID"	"16001"	"40-44 years"	"40-44"	"2006"	"2006"	107	13504	7.92
	"Canyon County, ID"	"16027"	"15-19 years"	"15-19"	"2006"	"2006"	438	6376	68.70
	"Canyon County, ID"	"16027"	"20-24 years"	"20-24"	"2006"	"2006"	1073	5791	185.29
	"Canyon County, ID"	"16027"	"25-29 years"	"25-29"	"2006"	"2006"	1082	6533	165.62
	"Canyon County, ID"	"16027"	"30-34 years"	"30-34"	"2006"	"2006"	621	6007	103.38
	"Canyon County, ID"	"16027"	"35-39 years"	"35-39"	"2006"	"2006"	226	5660	39.93
	"Canyon County, ID"	"16027"	"40-44 years"	"40-44"	"2006"	"2006"	36	5546	6.49
	"Kootenai County, ID"	"16055"	"15-19 years"	"15-19"	"2006"	"2006"	138	4583	30.11
	"Kootenai County, ID"	"16055"	"20-24 years"	"20-24"	"2006"	"2006"	520	3736	139.19
	"Kootenai County, ID"	"16055"	"25-29 years"	"25-29"	"2006"	"2006"	546	3947	138.33
	"Kootenai County, ID"	"16055"	"30-34 years"	"30-34"	"2006"	"2006"	321	3729	86.08
	"Kootenai County, ID"	"16055"	"35-39 years"	"35-39"	"2006"	"2006"	154	4261	36.14
	"Kootenai County, ID"	"16055"	"40-44 years"	"40-44"	"2006"	"2006"	32	4700	6.81
	"Unidentified Counties, ID"	"16999"	"15-19 years"	"15-19"	"2006"	"2006"	1213	33042	36.71
	"Unidentified Counties, ID"	"16999"	"20-24 years"	"20-24"	"2006"	"2006"	4576	31026	147.49
	"Unidentified Counties, ID"	"16999"	"25-29 years"	"25-29"	"2006"	"2006"	4166	24375	170.91
	"Unidentified Counties, ID"	"16999"	"30-34 years"	"30-34"	"2006"	"2006"	2201	22166	99.30
	"Unidentified Counties, ID"	"16999"	"35-39 years"	"35-39"	"2006"	"2006"	932	22719	41.02
	"Unidentified Counties, ID"	"16999"	"40-44 years"	"40-44"	"2006"	"2006"	175	25152	6.96
	"Unidentified Counties, ID"	"16999"	"45-49 years"	"45-49"	"2006"	"2006"	11	Not Available	Not Available
	"Champaign County, IL"	"17019"	"15-19 years"	"15-19"	"2006"	"2006"	215	10181	21.12
	"Champaign County, IL"	"17019"	"20-24 years"	"20-24"	"2006"	"2006"	563	15819	35.59
	"Champaign County, IL"	"17019"	"25-29 years"	"25-29"	"2006"	"2006"	779	7058	110.37
	"Champaign County, IL"	"17019"	"30-34 years"	"30-34"	"2006"	"2006"	613	6084	100.76
	"Champaign County, IL"	"17019"	"35-39 years"	"35-39"	"2006"	"2006"	225	5387	41.77
	"Champaign County, IL"	"17019"	"40-44 years"	"40-44"	"2006"	"2006"	49	5495	8.92
	"Cook County, IL"	"17031"	"15-19 years"	"15-19"	"2006"	"2006"	8696	177254	49.06
	"Cook County, IL"	"17031"	"20-24 years"	"20-24"	"2006"	"2006"	17541	185128	94.75
	"Cook County, IL"	"17031"	"25-29 years"	"25-29"	"2006"	"2006"	20448	217972	93.81
	"Cook County, IL"	"17031"	"30-34 years"	"30-34"	"2006"	"2006"	19247	190999	100.77
	"Cook County, IL"	"17031"	"35-39 years"	"35-39"	"2006"	"2006"	10841	186864	58.02
	"Cook County, IL"	"17031"	"40-44 years"	"40-44"	"2006"	"2006"	2267	186867	12.13
	"Cook County, IL"	"17031"	"45-49 years"	"45-49"	"2006"	"2006"	161	Not Available	Not Available
	"DuPage County, IL"	"17043"	"15-19 years"	"15-19"	"2006"	"2006"	552	31168	17.71
	"DuPage County, IL"	"17043"	"20-24 years"	"20-24"	"2006"	"2006"	1707	26883	63.50
	"DuPage County, IL"	"17043"	"25-29 years"	"25-29"	"2006"	"2006"	3173	28948	109.61
	"DuPage County, IL"	"17043"	"30-34 years"	"30-34"	"2006"	"2006"	3731	29515	126.41
	"DuPage County, IL"	"17043"	"35-39 years"	"35-39"	"2006"	"2006"	2229	34004	65.55
	"DuPage County, IL"	"17043"	"40-44 years"	"40-44"	"2006"	"2006"	449	37829	11.87
	"DuPage County, IL"	"17043"	"45-49 years"	"45-49"	"2006"	"2006"	21	Not Available	Not Available
	"Kane County, IL"	"17089"	"15-19 years"	"15-19"	"2006"	"2006"	726	16951	42.83
	"Kane County, IL"	"17089"	"20-24 years"	"20-24"	"2006"	"2006"	1736	13658	127.10
	"Kane County, IL"	"17089"	"25-29 years"	"25-29"	"2006"	"2006"	2378	14815	160.51
	"Kane County, IL"	"17089"	"30-34 years"	"30-34"	"2006"	"2006"	2319	17558	132.08
	"Kane County, IL"	"17089"	"35-39 years"	"35-39"	"2006"	"2006"	1136	19368	58.65
	"Kane County, IL"	"17089"	"40-44 years"	"40-44"	"2006"	"2006"	231	19546	11.82
	"Kane County, IL"	"17089"	"45-49 years"	"45-49"	"2006"	"2006"	12	Not Available	Not Available
	"Kankakee County, IL"	"17091"	"15-19 years"	"15-19"	"2006"	"2006"	184	4195	43.86
	"Kankakee County, IL"	"17091"	"20-24 years"	"20-24"	"2006"	"2006"	465	3871	120.12
	"Kankakee County, IL"	"17091"	"25-29 years"	"25-29"	"2006"	"2006"	500	3317	150.74
	"Kankakee County, IL"	"17091"	"30-34 years"	"30-34"	"2006"	"2006"	316	3427	92.21
	"Kankakee County, IL"	"17091"	"35-39 years"	"35-39"	"2006"	"2006"	133	3523	37.75
	"Kankakee County, IL"	"17091"	"40-44 years"	"40-44"	"2006"	"2006"	36	3948	9.12
	"Lake County, IL"	"17097"	"15-19 years"	"15-19"	"2006"	"2006"	682	25456	26.79
	"Lake County, IL"	"17097"	"20-24 years"	"20-24"	"2006"	"2006"	1738	18416	94.37
	"Lake County, IL"	"17097"	"25-29 years"	"25-29"	"2006"	"2006"	2559	18558	137.89
	"Lake County, IL"	"17097"	"30-34 years"	"30-34"	"2006"	"2006"	2831	21973	128.84
	"Lake County, IL"	"17097"	"35-39 years"	"35-39"	"2006"	"2006"	1668	26443	63.08
	"Lake County, IL"	"17097"	"40-44 years"	"40-44"	"2006"	"2006"	355	29643	11.98
	"Lake County, IL"	"17097"	"45-49 years"	"45-49"	"2006"	"2006"	34	Not Available	Not Available
	"LaSalle County, IL"	"17099"	"15-19 years"	"15-19"	"2006"	"2006"	128	3757	34.07
	"LaSalle County, IL"	"17099"	"20-24 years"	"20-24"	"2006"	"2006"	383	3206	119.46
	"LaSalle County, IL"	"17099"	"25-29 years"	"25-29"	"2006"	"2006"	421	3032	138.85
	"LaSalle County, IL"	"17099"	"30-34 years"	"30-34"	"2006"	"2006"	254	2984	85.12
	"LaSalle County, IL"	"17099"	"35-39 years"	"35-39"	"2006"	"2006"	150	3539	42.38
	"LaSalle County, IL"	"17099"	"40-44 years"	"40-44"	"2006"	"2006"	29	4210	6.89
	"McHenry County, IL"	"17111"	"15-19 years"	"15-19"	"2006"	"2006"	221	10864	20.34
	"McHenry County, IL"	"17111"	"20-24 years"	"20-24"	"2006"	"2006"	668	7119	93.83
	"McHenry County, IL"	"17111"	"25-29 years"	"25-29"	"2006"	"2006"	1203	7565	159.02
	"McHenry County, IL"	"17111"	"30-34 years"	"30-34"	"2006"	"2006"	1317	9785	134.59
	"McHenry County, IL"	"17111"	"35-39 years"	"35-39"	"2006"	"2006"	681	12732	53.49
	"McHenry County, IL"	"17111"	"40-44 years"	"40-44"	"2006"	"2006"	131	13902	9.42
	"McLean County, IL"	"17113"	"15-19 years"	"15-19"	"2006"	"2006"	150	7906	18.97
	"McLean County, IL"	"17113"	"20-24 years"	"20-24"	"2006"	"2006"	465	11262	41.29
	"McLean County, IL"	"17113"	"25-29 years"	"25-29"	"2006"	"2006"	737	5324	138.43
	"McLean County, IL"	"17113"	"30-34 years"	"30-34"	"2006"	"2006"	591	5222	113.18
	"McLean County, IL"	"17113"	"35-39 years"	"35-39"	"2006"	"2006"	227	5324	42.64
	"McLean County, IL"	"17113"	"40-44 years"	"40-44"	"2006"	"2006"	37	5732	6.45
	"Macon County, IL"	"17115"	"15-19 years"	"15-19"	"2006"	"2006"	246	4057	60.64
	"Macon County, IL"	"17115"	"20-24 years"	"20-24"	"2006"	"2006"	446	3584	124.44
	"Macon County, IL"	"17115"	"25-29 years"	"25-29"	"2006"	"2006"	407	3550	114.65
	"Macon County, IL"	"17115"	"30-34 years"	"30-34"	"2006"	"2006"	216	3107	69.52
	"Macon County, IL"	"17115"	"35-39 years"	"35-39"	"2006"	"2006"	102	3369	30.28
	"Macon County, IL"	"17115"	"40-44 years"	"40-44"	"2006"	"2006"	18	3765	4.78
	"Madison County, IL"	"17119"	"15-19 years"	"15-19"	"2006"	"2006"	408	9390	43.45
	"Madison County, IL"	"17119"	"20-24 years"	"20-24"	"2006"	"2006"	892	9688	92.07
	"Madison County, IL"	"17119"	"25-29 years"	"25-29"	"2006"	"2006"	1090	8841	123.29
	"Madison County, IL"	"17119"	"30-34 years"	"30-34"	"2006"	"2006"	689	8079	85.28
	"Madison County, IL"	"17119"	"35-39 years"	"35-39"	"2006"	"2006"	269	8820	30.50
	"Madison County, IL"	"17119"	"40-44 years"	"40-44"	"2006"	"2006"	44	10138	4.34
	"Peoria County, IL"	"17143"	"15-19 years"	"15-19"	"2006"	"2006"	342	6509	52.54
	"Peoria County, IL"	"17143"	"20-24 years"	"20-24"	"2006"	"2006"	744	6737	110.43
	"Peoria County, IL"	"17143"	"25-29 years"	"25-29"	"2006"	"2006"	786	6547	120.05
	"Peoria County, IL"	"17143"	"30-34 years"	"30-34"	"2006"	"2006"	516	5723	90.16
	"Peoria County, IL"	"17143"	"35-39 years"	"35-39"	"2006"	"2006"	253	5916	42.77
	"Peoria County, IL"	"17143"	"40-44 years"	"40-44"	"2006"	"2006"	38	6038	6.29
	"Rock Island County, IL"	"17161"	"15-19 years"	"15-19"	"2006"	"2006"	257	4994	51.46
	"Rock Island County, IL"	"17161"	"20-24 years"	"20-24"	"2006"	"2006"	522	4955	105.35
	"Rock Island County, IL"	"17161"	"25-29 years"	"25-29"	"2006"	"2006"	565	4763	118.62
	"Rock Island County, IL"	"17161"	"30-34 years"	"30-34"	"2006"	"2006"	348	4089	85.11
	"Rock Island County, IL"	"17161"	"35-39 years"	"35-39"	"2006"	"2006"	153	4415	34.65
	"Rock Island County, IL"	"17161"	"40-44 years"	"40-44"	"2006"	"2006"	23	4901	4.69
	"St. Clair County, IL"	"17163"	"15-19 years"	"15-19"	"2006"	"2006"	555	9645	57.54
	"St. Clair County, IL"	"17163"	"20-24 years"	"20-24"	"2006"	"2006"	1093	8725	125.27
	"St. Clair County, IL"	"17163"	"25-29 years"	"25-29"	"2006"	"2006"	1136	8991	126.35
	"St. Clair County, IL"	"17163"	"30-34 years"	"30-34"	"2006"	"2006"	686	8408	81.59
	"St. Clair County, IL"	"17163"	"35-39 years"	"35-39"	"2006"	"2006"	327	9186	35.60
	"St. Clair County, IL"	"17163"	"40-44 years"	"40-44"	"2006"	"2006"	69	10236	6.74
	"Sangamon County, IL"	"17167"	"15-19 years"	"15-19"	"2006"	"2006"	264	6274	42.08
	"Sangamon County, IL"	"17167"	"20-24 years"	"20-24"	"2006"	"2006"	639	6075	105.19
	"Sangamon County, IL"	"17167"	"25-29 years"	"25-29"	"2006"	"2006"	768	6423	119.57
	"Sangamon County, IL"	"17167"	"30-34 years"	"30-34"	"2006"	"2006"	533	6059	87.97
	"Sangamon County, IL"	"17167"	"35-39 years"	"35-39"	"2006"	"2006"	234	6462	36.21
	"Sangamon County, IL"	"17167"	"40-44 years"	"40-44"	"2006"	"2006"	45	7571	5.94
	"Tazewell County, IL"	"17179"	"15-19 years"	"15-19"	"2006"	"2006"	147	4208	34.93
	"Tazewell County, IL"	"17179"	"20-24 years"	"20-24"	"2006"	"2006"	378	3498	108.06
	"Tazewell County, IL"	"17179"	"25-29 years"	"25-29"	"2006"	"2006"	576	3868	148.91
	"Tazewell County, IL"	"17179"	"30-34 years"	"30-34"	"2006"	"2006"	384	4104	93.57
	"Tazewell County, IL"	"17179"	"35-39 years"	"35-39"	"2006"	"2006"	165	4309	38.29
	"Tazewell County, IL"	"17179"	"40-44 years"	"40-44"	"2006"	"2006"	26	4730	5.50
	"Will County, IL"	"17197"	"15-19 years"	"15-19"	"2006"	"2006"	632	23180	27.26
	"Will County, IL"	"17197"	"20-24 years"	"20-24"	"2006"	"2006"	1542	16692	92.38
	"Will County, IL"	"17197"	"25-29 years"	"25-29"	"2006"	"2006"	2921	19584	149.15
	"Will County, IL"	"17197"	"30-34 years"	"30-34"	"2006"	"2006"	3064	23714	129.21
	"Will County, IL"	"17197"	"35-39 years"	"35-39"	"2006"	"2006"	1601	28080	57.02
	"Will County, IL"	"17197"	"40-44 years"	"40-44"	"2006"	"2006"	279	28120	9.92
	"Winnebago County, IL"	"17201"	"15-19 years"	"15-19"	"2006"	"2006"	501	10083	49.69
	"Winnebago County, IL"	"17201"	"20-24 years"	"20-24"	"2006"	"2006"	1107	8678	127.56
	"Winnebago County, IL"	"17201"	"25-29 years"	"25-29"	"2006"	"2006"	1199	9255	129.55
	"Winnebago County, IL"	"17201"	"30-34 years"	"30-34"	"2006"	"2006"	857	9269	92.46
	"Winnebago County, IL"	"17201"	"35-39 years"	"35-39"	"2006"	"2006"	359	10024	35.81
	"Winnebago County, IL"	"17201"	"40-44 years"	"40-44"	"2006"	"2006"	70	10774	6.50
	"Unidentified Counties, IL"	"17999"	"15-19 years"	"15-19"	"2006"	"2006"	2846	80192	35.49
	"Unidentified Counties, IL"	"17999"	"20-24 years"	"20-24"	"2006"	"2006"	7935	76852	103.25
	"Unidentified Counties, IL"	"17999"	"25-29 years"	"25-29"	"2006"	"2006"	8475	61193	138.50
	"Unidentified Counties, IL"	"17999"	"30-34 years"	"30-34"	"2006"	"2006"	5315	63331	83.92
	"Unidentified Counties, IL"	"17999"	"35-39 years"	"35-39"	"2006"	"2006"	2300	70441	32.65
	"Unidentified Counties, IL"	"17999"	"40-44 years"	"40-44"	"2006"	"2006"	467	79344	5.89
	"Unidentified Counties, IL"	"17999"	"45-49 years"	"45-49"	"2006"	"2006"	24	Not Available	Not Available
	"Allen County, IN"	"18003"	"15-19 years"	"15-19"	"2006"	"2006"	594	12354	48.08
	"Allen County, IN"	"18003"	"20-24 years"	"20-24"	"2006"	"2006"	1536	11677	131.54
	"Allen County, IN"	"18003"	"25-29 years"	"25-29"	"2006"	"2006"	1613	12090	133.42
	"Allen County, IN"	"18003"	"30-34 years"	"30-34"	"2006"	"2006"	1102	11206	98.34
	"Allen County, IN"	"18003"	"35-39 years"	"35-39"	"2006"	"2006"	498	11720	42.49
	"Allen County, IN"	"18003"	"40-44 years"	"40-44"	"2006"	"2006"	93	12474	7.46
	"Delaware County, IN"	"18035"	"15-19 years"	"15-19"	"2006"	"2006"	134	5888	22.76
	"Delaware County, IN"	"18035"	"20-24 years"	"20-24"	"2006"	"2006"	430	8208	52.39
	"Delaware County, IN"	"18035"	"25-29 years"	"25-29"	"2006"	"2006"	365	3126	116.76
	"Delaware County, IN"	"18035"	"30-34 years"	"30-34"	"2006"	"2006"	197	3236	60.88
	"Delaware County, IN"	"18035"	"35-39 years"	"35-39"	"2006"	"2006"	86	3354	25.64
	"Delaware County, IN"	"18035"	"40-44 years"	"40-44"	"2006"	"2006"	10	3726	2.68
	"Elkhart County, IN"	"18039"	"15-19 years"	"15-19"	"2006"	"2006"	424	7185	59.01
	"Elkhart County, IN"	"18039"	"20-24 years"	"20-24"	"2006"	"2006"	1055	6130	172.10
	"Elkhart County, IN"	"18039"	"25-29 years"	"25-29"	"2006"	"2006"	1059	6552	161.63
	"Elkhart County, IN"	"18039"	"30-34 years"	"30-34"	"2006"	"2006"	648	6290	103.02
	"Elkhart County, IN"	"18039"	"35-39 years"	"35-39"	"2006"	"2006"	257	6749	38.08
	"Elkhart County, IN"	"18039"	"40-44 years"	"40-44"	"2006"	"2006"	48	6878	6.98
	"Hamilton County, IN"	"18057"	"15-19 years"	"15-19"	"2006"	"2006"	117	7618	15.36
	"Hamilton County, IN"	"18057"	"20-24 years"	"20-24"	"2006"	"2006"	387	4972	77.84
	"Hamilton County, IN"	"18057"	"25-29 years"	"25-29"	"2006"	"2006"	1062	7841	135.44
	"Hamilton County, IN"	"18057"	"30-34 years"	"30-34"	"2006"	"2006"	1334	9691	137.65
	"Hamilton County, IN"	"18057"	"35-39 years"	"35-39"	"2006"	"2006"	676	11722	57.67
	"Hamilton County, IN"	"18057"	"40-44 years"	"40-44"	"2006"	"2006"	118	11422	10.33
	"Hendricks County, IN"	"18063"	"15-19 years"	"15-19"	"2006"	"2006"	92	4393	20.94
	"Hendricks County, IN"	"18063"	"20-24 years"	"20-24"	"2006"	"2006"	299	3114	96.02
	"Hendricks County, IN"	"18063"	"25-29 years"	"25-29"	"2006"	"2006"	561	3940	142.39
	"Hendricks County, IN"	"18063"	"30-34 years"	"30-34"	"2006"	"2006"	458	4779	95.84
	"Hendricks County, IN"	"18063"	"35-39 years"	"35-39"	"2006"	"2006"	194	5294	36.65
	"Hendricks County, IN"	"18063"	"40-44 years"	"40-44"	"2006"	"2006"	28	5682	4.93
	"Johnson County, IN"	"18081"	"15-19 years"	"15-19"	"2006"	"2006"	171	4498	38.02
	"Johnson County, IN"	"18081"	"20-24 years"	"20-24"	"2006"	"2006"	459	3895	117.84
	"Johnson County, IN"	"18081"	"25-29 years"	"25-29"	"2006"	"2006"	608	4261	142.69
	"Johnson County, IN"	"18081"	"30-34 years"	"30-34"	"2006"	"2006"	392	4307	91.01
	"Johnson County, IN"	"18081"	"35-39 years"	"35-39"	"2006"	"2006"	182	4883	37.27
	"Johnson County, IN"	"18081"	"40-44 years"	"40-44"	"2006"	"2006"	24	5255	4.57
	"Lake County, IN"	"18089"	"15-19 years"	"15-19"	"2006"	"2006"	768	16959	45.29
	"Lake County, IN"	"18089"	"20-24 years"	"20-24"	"2006"	"2006"	1869	15195	123.00
	"Lake County, IN"	"18089"	"25-29 years"	"25-29"	"2006"	"2006"	2058	16406	125.44
	"Lake County, IN"	"18089"	"30-34 years"	"30-34"	"2006"	"2006"	1413	15516	91.07
	"Lake County, IN"	"18089"	"35-39 years"	"35-39"	"2006"	"2006"	689	16309	42.25
	"Lake County, IN"	"18089"	"40-44 years"	"40-44"	"2006"	"2006"	125	18115	6.90
	"Lake County, IN"	"18089"	"45-49 years"	"45-49"	"2006"	"2006"	10	Not Available	Not Available
	"La Porte County, IN"	"18091"	"15-19 years"	"15-19"	"2006"	"2006"	162	3424	47.31
	"La Porte County, IN"	"18091"	"20-24 years"	"20-24"	"2006"	"2006"	434	2726	159.21
	"La Porte County, IN"	"18091"	"25-29 years"	"25-29"	"2006"	"2006"	376	3050	123.28
	"La Porte County, IN"	"18091"	"30-34 years"	"30-34"	"2006"	"2006"	222	3005	73.88
	"La Porte County, IN"	"18091"	"35-39 years"	"35-39"	"2006"	"2006"	113	3383	33.40
	"La Porte County, IN"	"18091"	"40-44 years"	"40-44"	"2006"	"2006"	23	3845	5.98
	"Madison County, IN"	"18095"	"15-19 years"	"15-19"	"2006"	"2006"	183	4372	41.86
	"Madison County, IN"	"18095"	"20-24 years"	"20-24"	"2006"	"2006"	539	4040	133.42
	"Madison County, IN"	"18095"	"25-29 years"	"25-29"	"2006"	"2006"	486	3899	124.65
	"Madison County, IN"	"18095"	"30-34 years"	"30-34"	"2006"	"2006"	265	3875	68.39
	"Madison County, IN"	"18095"	"35-39 years"	"35-39"	"2006"	"2006"	99	4221	23.45
	"Madison County, IN"	"18095"	"40-44 years"	"40-44"	"2006"	"2006"	18	4612	3.90
	"Marion County, IN"	"18097"	"15-19 years"	"15-19"	"2006"	"2006"	1958	30179	64.88
	"Marion County, IN"	"18097"	"20-24 years"	"20-24"	"2006"	"2006"	4615	34093	135.37
	"Marion County, IN"	"18097"	"25-29 years"	"25-29"	"2006"	"2006"	4444	39359	112.91
	"Marion County, IN"	"18097"	"30-34 years"	"30-34"	"2006"	"2006"	3032	31773	95.43
	"Marion County, IN"	"18097"	"35-39 years"	"35-39"	"2006"	"2006"	1312	30907	42.45
	"Marion County, IN"	"18097"	"40-44 years"	"40-44"	"2006"	"2006"	252	32729	7.70
	"Marion County, IN"	"18097"	"45-49 years"	"45-49"	"2006"	"2006"	10	Not Available	Not Available
	"Monroe County, IN"	"18105"	"15-19 years"	"15-19"	"2006"	"2006"	93	7652	12.15
	"Monroe County, IN"	"18105"	"20-24 years"	"20-24"	"2006"	"2006"	310	13561	22.86
	"Monroe County, IN"	"18105"	"25-29 years"	"25-29"	"2006"	"2006"	379	4892	77.47
	"Monroe County, IN"	"18105"	"30-34 years"	"30-34"	"2006"	"2006"	332	3686	90.07
